,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Shanghai SIPG,68,30,21,5
1,2,Guangzhou Evergrande,63,30,20,3
2,3,Shandong Luneng Taishan,58,30,17,7
3,4,Beijing Sinobo Guoan,53,30,15,8
4,5,Jiangsu Suning,48,30,13,9
5,6,Hebei China Fortune FC,39,30,10,9
6,7,Shanghai Shenhua,38,30,10,8
7,8,Beijing Renhe,37,30,9,10
8,9,Tianjin Quanjian,36,30,9,9
9,10,Guangzhou R&F,36,30,10,6
10,11,Dalian Yifang,35,30,10,5
11,12,Henan Jianye,34,30,10,4
12,13,Chongqing Lifan,32,30,8,8
13,14,Tianjin Teda,32,30,8,8
14,15,Changchun Yatai,32,30,8,8
15,16,Guizhou Hengfeng FC,24,30,7,3
