,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Lyon,79,38,24,7
1,2,Bordeaux,75,38,22,9
2,3,Marseille,62,38,17,11
3,4,AS Nancy Lorraine,60,38,15,15
4,5,Saint-Etienne,58,38,16,10
5,6,Stade Rennes,58,38,16,10
6,7,Lille,57,38,13,18
7,8,Nice,55,38,13,16
8,9,Le Mans,53,38,14,11
9,10,Lorient,52,38,12,16
10,11,Caen,51,38,13,12
11,12,AS Mônaco,47,38,13,8
12,13,Valenciennes,45,38,12,9
13,14,Sochaux,44,38,10,14
14,15,AJ Auxerre,44,38,12,8
15,16,Paris Saint-Germain,43,38,10,13
16,17,Toulouse,42,38,9,15
17,18,Lens,40,38,9,13
18,19,Strasbourg,35,38,9,8
19,20,Metz,24,38,5,9
