,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,FC Twente,86,34,27,5
1,2,Ajax,85,34,27,4
2,3,PSV Eindhoven,78,34,23,9
3,4,Feyenoord Rotterdam,63,34,17,12
4,5,AZ Alkmaar,62,34,19,5
5,6,SC Heracles Almelo,56,34,17,5
6,7,FC Utrecht,53,34,14,11
7,8,FC Groningen,49,34,14,7
8,9,Roda JC Kerkrade,47,34,14,5
9,10,NAC Breda,46,34,12,10
10,11,Heerenveen,37,34,11,4
11,12,VVV Venlo,35,34,8,11
12,13,NEC Nijmegen,33,34,8,9
13,14,Vitesse Arnhem,32,34,8,8
14,15,ADO Den Haag,30,34,7,9
15,16,Sparta Rotterdam,26,34,6,8
16,17,Willem II Tilburg,23,34,7,2
17,18,RKC Waalwijk,15,34,5,0
