,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,FC Porto,75,30,24,3
1,2,Sporting CP,55,30,16,7
2,3,Guimaraes,53,30,15,8
3,4,Benfica,52,30,13,13
4,5,Maritimo,46,30,14,4
5,6,Vitoria Setubal,45,30,11,12
6,7,Braga,41,30,10,11
7,8,Belenenses,40,30,11,10
8,9,Boavista,36,30,8,12
9,10,CD Nacional de Madeira,35,30,9,8
10,11,Naval 1º Maio,34,30,9,7
11,12,Academica de Coimbra,32,30,6,14
12,13,Estrela Amadora,31,30,6,13
13,14,Leixoes,26,30,4,14
14,15,Paços de Ferreira,25,30,6,7
15,16,Uniao Leiria,16,30,3,7
