,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Besiktas,71,34,21,8
1,2,Sivasspor,66,34,19,9
2,3,Trabzonspor,65,34,19,8
3,4,Fenerbahçe,61,34,18,7
4,5,Galatasaray,61,34,18,7
5,6,Bursaspor,58,34,16,10
6,7,Kayserispor,50,34,13,11
7,8,Gaziantepspor,47,34,12,11
8,9,Istanbul Basaksehir,42,34,12,6
9,10,Ankaraspor,41,34,11,8
10,11,Eskisehirspor,40,34,10,10
11,12,Antalyaspor,40,34,10,10
12,13,Ankaragucu,39,34,11,6
13,14,Genclerbirligi,38,34,10,8
14,15,Denizlispor,38,34,11,5
15,16,Konyaspor,38,34,10,8
16,17,Kocaelispor,29,34,8,5
17,18,Genclerbirligi OFTAS,22,34,5,7
