,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,87,38,26,9
1,2,Atlético de Madrid,76,38,22,10
2,3,Real Madrid,68,38,21,5
3,4,Valencia,61,38,15,16
4,5,Getafe,59,38,15,14
5,6,Sevilla FC,59,38,17,8
6,7,Espanyol,53,38,14,11
7,8,Athletic Bilbao,53,38,13,14
8,9,Real Sociedad,50,38,13,11
9,10,Real Betis,50,38,14,8
10,11,Alavés,50,38,13,11
11,12,Eibar,47,38,11,14
12,13,Leganés,45,38,11,12
13,14,Villareal,44,38,10,14
14,15,Levante,44,38,11,11
15,16,Real Valladolid,41,38,10,11
16,17,Celta de Vigo,41,38,10,11
17,18,Girona,37,38,9,10
18,19,Huesca,33,38,7,12
19,20,Rayo Vallecano,32,38,8,8
