,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Juventus,86,38,26,8
1,2,AC Milan,79,38,23,10
2,3,Internazionale,72,38,18,18
3,4,Udinese,62,38,17,11
4,5,Sampdoria,61,38,17,10
5,6,Palermo,53,38,12,17
6,7,Messina,48,38,12,12
7,8,AS Roma,45,38,11,12
8,9,Livorno,45,38,11,12
9,10,Lecce,44,38,10,14
10,11,Reggina,44,38,10,14
11,12,Cagliari,44,38,10,14
12,13,Lázio,44,38,11,11
13,14,Siena,43,38,9,16
14,15,Chievo Verona,43,38,11,10
15,16,Fiorentina,42,38,9,15
16,17,Bolonha,42,38,9,15
17,18,Parma,42,38,10,12
18,19,Brescia,41,38,11,8
19,20,Atalanta,35,38,8,11
